,col
391,"Умер Фидель Кастро. Входит он со своим упакованным в чемоданчик барахлом в райские
 врата, его встречает святой Петр:
 — Так, присаживайтесь, посмотрим, есть ли Вы у нас в списках... так в основном списке
 Вас нет, в дополнительном нет... что тут у нас... а это форма 202, справка А38... не, не
 то... ясно, нет Вас в списках, что ж поделать, видать Вам надо в ад. Отправляйтесь-ка туда.
 Делать нечего, спускается Фидель в ад. Там его сам Люцифер встречает с
 распростертыми обьятиями:
 — Фидель, дружище! Как же мы заждались! Проходи, тебя ждет отдельный номер со
 всеми удобствами. Сигары, девочки... а не желаешь ли по стаканчику рома с дороги?
 Сидят они, выпивают, беседуют, и тут Фидель вспоминает что забыл свой чемоданчик с
 вещами в раю. Люцифер вызывает двух бесов:
 — Так, быстро метнулись в рай, принесли уважаемому коменданте его чемоданчик!
 Только чтобы одна нога тут, а другая там, поняли?
 Ну бесы и помчались в рай. А там у святого Петра смена закончилась, он запер ворота,
 да и ушел к себе в келью отдыхать. Бесенята бегают возле ворот туда-сюда, что же
 делать, без чемоданчика возвращаться нельзя, Люцифер кожу с них спустит. Полезли
 они в рай через забор....
 А на охране стоят два архангела и наблюдают за всем этим, и один другому говорит:
 — Ты смотри, Фидель всего 20 минут как в аду, а у нас уже беженцы!"
392,В армянских школах одноклассники дергают девочек за усы.
393,Два карлика подрались в мини-баре.
394,"Подольск, 80-е. Поздний ненастный вечер. В гостиницу заходит командировочный. 
Мест естественно нет. Но он выглядит так жалко и просит так настойчиво, что закаленная администратор дрогнула: 
— Вообще–то есть одно место в четырехместном номере, но там уже с раннего вечера трое пьют водку и рассказывают друг другу политические анектоды. 
Пойдете к ним? 

Мужик подумал, эка невидаль: водка и анекдоты, и радостно согласился. 
Заходит в номер и видит три здоровенных мужика вовсю квасят водяру и травят политические анекдоты. Командировочный вежливо поздоровался и лег спать. Но уснуть не может, трое продолжают выпивать и громко рассказывать политические анекдоты. В 11 часов вечера мужик просит троих закругляться, но его весело посылают на хуй. В 11–30 то же самое. 
Мужик призадумался, оделся и вышел к коридорной. 
— Вот вам два рубля, занесите, пожалуйста, ровно в полночь четыре стакана чая. Давайте сверим часы. 
Без пяти минут 12 мужик обращается к троим и говорит: 
— Ребята, может все–таки хватит, давайте попьем чайку и будем спать? 
Его поднимают на смех: 
— Да кто ж тебе, чувак, в 12 ночи чай сделает? 
Командировочный поворачивается к стене и говорит в электрическую розетку: 
— Товарищ капитан, организуйте, пожалуйста, четыре стакана чая! 
Ровно в двенадцать открывается дверь, заходит коридорная и вносит четыре стакана чая. Обалдевшие трое моментально раздеваются и прыгают по койкам. 
Командировочный наконец засыпает и просыпается довольно поздно. 
Смотрит номер убран, в комнате никого нет. Он спрашивает у коридорной: 
— А где вчерашние трое? 
— Да понимаете, рано утром пришел капитан и забрал троих. Хотел сначала всех четверых забрать, но уж больно ему ваша шутка с чаем понравилась!"
395,"Танцуют на балу поручик Ржевский с Наташей Ростовой. Наташа заводит беседу:
- Поручик, скажите, а что Вы делали вчера вечером?
- Кобылу на конюшне трахал-с!
- Поручик, это же низко!
- Кому низко, тот и табурет подставить может-с!
- Фи, поручик, какой же Вы пошляк!
И ушла к другому кавалеру. Спрашивает у него:
- Скажите, корнет, как по-вашему, поручик Ржевский действительно такой пошляк, или он просто шалун?
- Мадемуазель, пожалуй - просто шалун-с! К примеру, трахали мы вчера с ним на конюшне лошадь, так он все норовил из-под меня табуретку выбить! Определенно шалун!"
396,"Если армянин назвал тебя другом, значит хочет нае6ать. А если назвал братом — значит, уже нае6ал."
397,"Девочка, танцуя тектоник, случайно обозвала глухонемого мальчика пид0расом"
398,"Лень портит жизнь многим людям, мешает им жить и развиваться. Вот садишься ты учить конспекты, например, а лень на ушко напевает: «Зачем тебе все это, лучше в Доту поиграй или книжку почитай». Или надо тебе по работе отчет доделать, а лень откуда ни возьмись вылезает и поет: «Да ладно, сроки сдачи отчетности еще не сорваны, поспи лучше, потом сделаешь, да и чуть припозднишься, ничего страшного». Если ты трудоголик, то ты отгоняешь от себя эти мысли, словно обнаглевших котов от кухонного стола. Но вот если ты родился лентяем, тогда уж то, что шепчет лень, вполне совпадает с твоими намерениями. О, сколько пытливых умов угрохала проклятущая Лень! Сколько слабовольных людей, точно мухи в паутине, навсегда застревали в ее объятьях. Таких случаев действительно очень много. И есть, наверно, лишь один случай, в котором Лень спасла человеческую жизнь. А дело было так...

Если бы где-то происходил чемпионат среди ленивых людей, Антон занял бы на нем первое место, причем с огромным отрывом от остальных участников и реальности. Обломов по сравнению с ним был просто сосунком, ничего не понимающем в настоящей лени. Антон предавался лени целыми днями, со вкусом, толком и расстановкой. Работать не хотел, учиться тоже, заводить друзей, а тем более, девушку, ему было лень. Впрочем, о том, что он ленив, никто не знал, поскольку всем немногочисленным знакомым он сообщал, что решил посвятить жизнь саморазвитию. Знакомые уважительно округляли глаза и отступались – ведь они занимались какой-то ерундой вроде построения карьеры, а вот Тоха — саморазвитием. Правда, он не сообщал знакомым, что саморазвитие в его случае заключается в прохождении компьютерных игр. Вот так и жил Антон, изредка созваниваясь с одним своим хорошим знакомым — Колей.
Коля был обычным, ничем не выдающимся человеком, разве что лени у него не было совсем. Ну просто ни капельки. Это огорчало Антона, поэтому он бравировал перед Николаем своим «саморазвитием». А тот не мог ничего возразить на это, оставаясь всего лишь старательным офисным клерком, ведущим активный послерабочий образ жизни. Тут тебе и бары, и страйкбол, и кино, и литературные вечера, и концерты, и просто общение с друзьями. Зато у Коли не было «саморазвития», это огорчало уже его. Еще одним плохим качеством Коли было умение попадать в конфликтные ситуации. С начальством, со случайными людьми на улицах, с коллегами, даже с лучшими друзьями. В общем, такой вот человек.

Сегодня утром Николай наступил в метро на ногу старой цыганки. Вместо того, чтобы извиниться, Коля вскипел: «Ишь развалилась, пройти мешаешь! Не работаете нигде, песьи дети, только наркотой торгуете!». Глаза цыганки расширились, будто она съела живого ежа, а затем она прокричала ему гортанным прокуренным голосом: « А ты я гляжу, весь такой работящий да занятой, ни разу хуи не пинал. Весь правильный такой, чистенький, в белой рубашечке, не то, что я, цыганка, да? Так хочется тебя хуями обложить. Обкладываю». — далее она продолжила свою речь чередой матерных русских и цыганских слов. Коля ничего не смог ответить на это, поскольку уже подъехал к своей станции. Так и пришлось выходить, ничего не сказав обнаглевшей (как казалось Николаю) цыганке. 

После того, как Николай вышел из здания офиса, его всю дорогу до дома не покидало ощущение, что за ним следят. Пару раз он оборачивался и замечал какое-то шевеление в кустах цветущей сирени, у мусорного бака и в канализации. Едва он направлялся в их сторону, как он понимал, что там ничего нет, а соответственно, это его больное воображение. Самое странное, что ему мерещилось нечто красное и гладкое. И ему это совсем не нравилось, но данное видение было списано на усталость. Зайдя в свою холостяцкую, но идеально прибранную квартиру, Николай достал мобильный, чтобы позвонить своему другу, с которым они хотели поехать в бар, как тут с ужасом заметил нечто весьма странное. Он увидел, как со всех углов его чистой комнаты вылезают какие-то красные грибы. «Матерь божья» — воскликнул он, вдруг осознав, что же вылезает на свет в его комнате. Это были человеческие пенисы. Фаллосы. Хуи, грубо говоря. Большие и маленькие, обрезанные и нет. Они спокойно жили без своих хозяев, приближаясь к Коле. Коля, надо сказать, был не робкого десятка, но когда тебя со всех сторон обложили хуями, поневоле занервничаешь. Кроме того, хуи явно замышляли что-то нехорошее, подползая все ближе к Коле. Вот один из них уже подполз к его ноге. Черт, как же больно! Не знаю, чем, но пенис прокусил Николаю подошву ботинок. Коля жестоко пнул хуй, но не тут-то было, он пинаться не желал, как заговоренный стоял под ударами. «Из-за чего со мной происходит весь этот мрак?» — подумал Коля. И тут же вспомнил проклятье цыганки на двух языках. «Все ясно. — решил он. — Меня просто обложили со всем сторон хуями. Зубастыми и противными». Будто в подтверждение его слов самый любопытный член вновь укусил его за ногу, не так больно, как в первый раз, но достаточно противно. Этакая тупая боль, как от удара ногой об батарею. Он опять отчаянно пнул хуй, еще и еще, но ничего не помогало. Они продолжали гордо стоять у его ног, явно прицениваясь к остальному Колиному телу. «Думай, думай, Коля. — сказал он сам себе. — Что же ты имеешь? Цыганка обложила тебя хуями за то, что ты весь такой деловой и ни грамма не ленивый. Вспоминай, она же сказала, что ты НЕ УМЕЕШЬ пинать хуи. И черт возьми, она права. Коля, ты слишком активный. Поэтому ничего с наложенным на тебя проклятьем ты сделать не в состоянии». «А что же тогда мне делать, чтобы прогнать от себя все эти ненормальные человеческие органы? — думал он дальше. — Точно, мне нужен настоящий профессионал в области пинания хуев. Гуру». 
Как вы, наверно, уже догадались, Коля решил позвонить уже знакомому нам Антону. Он знал, что Тоха настолько ленив, что не приедет к нему на помощь, даже если его грозятся сьесть заживо пенисы. Но зато он знал, зачем Антонио точно приедет — за коллекционным изданием Morrowinda. Он быстро набрал Тошин номер, а когда тот ответил, описал ему такую ситуацию, что в честь трех лет их знакомства решил подарить ему коллекционное издание прямо сейчас, а то оно достанется другому другу, который давно его клянчит. Также он объяснил, что дверь Тоше лучше открыть самому, ключ под ковриком. А хуи тем временем все кусались, а Николай пытался задушить их, точно ядовитых змей, но ничего не получалось. Похоже, им было только приятно от этого.

Когда в комнату вошел запыхавшийся с дороги Антон и увидел Николая, сражающегося с десятком агрессивных хуев, он вымолвил лишь: «Нихуя себе». И тут же, увидев новую добычу, мужские достоинства набросились теперь уже на Тоху. Тоха от ужаса начал их пинать, зверски и остервенело. И знаете что? Хуи начали таять в воздухе, будто их никогда и не было. А радостный Николай кричал, забравшись на стул: «Так их, так их, делай то, для чего ты был рожден! Пинай хуи! Спасай друга от ужасной смерти!». В течение пяти минут в комнате не осталось никого, кроме Тоши и Коли. Антон смотрел на все это обалдевшими глазами и силился понять, что же все-таки происходит. Об этом он и спросил Николая, на что Николай ответил: «Да какая разница, главное, что ты делал все, что мог — пинал хуи, это у тебя получается идеально. И ты спас друга. Поэтому держи не только коллекционное издание Morrowinda (оно оставалось у Николая со школьных времен), но и вообще, забирай еще и вот эти два диска». Таким образом, Николай отдал все компьютерные игры, что имелись в его доме. Довольный Тоша поспешил домой, в объятья лени и игрушек, а избавленный от проклятия цыганки Николай зажил своей привычной жизнью, не вспоминая о той странной истории. Да и кому про такое рассказать?"
399,"Встречаются как-то два ковбоя и один другому говорит:
-Джо, с этой сигарой, ты смахиваешь на пид0раса.
-Извини Билл, буду смахивать в другую сторону."
400,"Стоит парень укуренный. К нему подходит мужик и спрашивает: 
–Как пройти к центральному парку? 
Парень объясняет: 
–Вот сейчас пойдешь прямо, потом налево. 
Постоял, подумал, продолжает:
–Увидишь ларек, там продавщица Лена, ты ее не е6и, ее мой друг е6ет. Потом пойдешь направо, потом прямо.
Стоит, задумался.
Мужик ему:
–Так а дальше что? Как к парку пройти?
–Как пройдешь направо, потом прямо, там увидишь мясокомбинат, там продавщица Таня, ты ее не еби, ее я ебу. 
Купишь у нее свиную голову, разобьешь ее об асфальт - увидишь мозги. Вот ты их еби, а мне мозги ебать не надо, ты и так у центрального парка."
401,"Осторожно, во второй половине пасты много про говно 
_______________________
Сейчас я вам расскажу, что случилось со мной год назад. 

Хотите верьте, хотите нет, но дело было так. 

В нашей группе учится девушка Саша. Но мы все зовем ее Шурочкой. 

Хотя ей бы больше пошло имя Мальвина - большие голубые глаза, натуральная блондинка, красивая правильная фигура. 

Приударяют за ней все. Но пока она неприступна. 

И вот в прошлую пятницу дернуло меня написать ей. Неожиданно она ответила. Слово за слово, договорились встретиться в кафешке через час. 

Кафешка у ее дома, а мне ехать через весь город. Я срочно готовиться, навожу марафет. И тут я чувствую, что хочется срать. 

Не сильно так, самую малость... Но как-то хочется. А времени на посрать нет. Ну, думаю, хули, вернусь домой, посру. 

Ловлю тачку, еду в кафешку, заказываю кофе, еще кофе, еще кофе, о Шурка пришла, ей мартини, мне пиво, еще мартини, еще пиво. 

Чувствую, что хочу уже и ссать. То есть и ссать и срать. Но не так сильно. И тут Шурка говорит: ""А поехали ко мне, у меня бабушка дома вкуснятины наготовила. 

Вот тут бы мне ее в жопу послать, но я еще не знал, чем это закончится. Ну говорю, погнали! А ссать хочется... И срать... Но неудобно сказать, типа погодь, я в туалет. 

Приезжаем к ней. Бабуля такой божий одуванчик Вера Яковлевна. Накладывает мне котлеток, салатиков, компотика.... БЛЯТЬ, Я СРАТЬ ХОЧУ... ПРОСТО НЕ МОГУ!!! 

А ССАТЬ ЕЩЕ БОЛЬШЕ. И вот бля картина маслом. Сижу я с кривой мордой и жру, рядом сидит Шура и гладит своей ручкой мне под столом ногу, бабуля сидит и байки травит. 

А я не могу встать и в туалет пойти, что мне сказать? Простите, блин, ваш бред, бабуля, надоел? Нет. И Шура ногу гладит. 

С чувством так. Гладит. Чувствую - эрекция. Блин, тебя родная не хватало. 

Теперь я хочу ссать, срать, а еще и хрен стоит. Бабуля тут опомнилась и говорит, что ей сериал смотреть надо, а вы типа детки сидите. Уходит. 

Не выдерживаю, натягиваю на перекошенное лицо улыбку и говорю Шуре, что надо в туалет. Да-да, конечно. 

Прибегаю в парашу, а там... СРАТЬ, ССАТЬ И ЧЛЕН СТОИТ! С ЧЕГО НАЧАТЬ???? 

Ну я нагибаюсь и пытаюсь засунуть свой стояк в унитаз, чтобы поссать. Расслабляю мышцы и чувствую, что гавно начинает лезть из жопы. 

СТОП! Лучше сяду, просрусь, пытаясь не обоссаться. Сел, зажал член, пытаюсь срать и одновременно начинаю ссать. 

СТОП! Чуть не теряю сознания от дилемы СРАТЬ-ССАТЬ-СТОЯК. 

Сидя на унитазе попытался опустить член между ног в унитаз, но стояк... Чуть не сломал его. 

В это время на полу уже была небольшая лужа. 

Я нагнулся, чтобы член был над унитазом, а жопа перпендикулярно, думал, что попаду. Хрен там, слегка обосрал унитаз. 

У меня паника, все болит. Хочется срать, ссать, стоит член, из глаз слезы, в туалете уже воняет. 

И ТУТ МЕНЯ ОСЕНИЛО! Посрать и поссать одновременно можно в ванной, а потом все смыть! Благо санузел у них совместный. 

Сажусь в ванную и... посрал, поссал, а член так и стоит... Ну да ладно, пусть стоит, уже не мешает. В голове поют ангелы. Знаете мотив этот Халелуя, халелуя. 

Беру душ и начинаю смывать гавно. А оно не пролазит, там блин решетка и не лезет. Я руками проталкивать не могу. Вонь страшная, ванная наполняется, гавно плавает. 

СНОВА ПАНИКА. Тут стук в дверь. Голос Шурочки: 

""Ты зачем душ включил?"" 

Блин

""Да вот душ решил принять"" 

""С ума сошел? Зачем? У меня бабушка дома!"" 

Мозг у меня помутнел и я сказал: 

""Сексом думал заняться"" 

""ЧТО???? Я вхожу"" 

""Прошу тебя не заходи"" 

Вонь уже должно быть просочилась и за двери. 

Шурочка открывает дверь и... картина маслом: 

Стою я без трусов в ванной, со стоящим членом, с остатками фекалий по всему телу, ванная полная коричневой воды, в которой плавает гавно, пол обосран и обоссан. 

Крик Шуры я не забуду никогда. Я схватил свои вещи, выбежал в коридор и ринулся к входной двери. 

Последнее, что я помню - обезумевшие глаза бабушки Веры Яковлевны, спешащей на крик внучки из комнаты и увидевшей полуголого меня в гавне и со стоящим членом, 

пингвинчиком бегущим корридоре ко входной двери. 

В подъезде я быстро обтерся найденными там же газетами и поехал домой."
402,"Заполняет мужик заявку на работу, в графе «Вы наркоман?» поставил галочку. 
Вызвали его в офис, спрашивают:
–Зачем вы в графе поставили галочку?
–Ну, наркотики разные бывают, кофеин, никотин.
–Кофе часто пьете? 
–Лично я по вене ставлюсь"
403,"–У меня две новости.
–Как всегда? Одна хорошая, а другая - плохая?
–Ну-у-у, тут как бы две в одной. Дед храпеть перестал."
404,"Парень с девушкой занимаются сексом в позе 69. 
Парень спрашивает: 
–Милая ты знаешь, какая высота у Эйфелевой Башни? 
– Нет дорогой. 
–355 метров. А сколько болтиков и гаечек затрачено? 
– Нет дорогой. 
– 17 миллиардов. 
–Дорогой, ты у меня такой умный, - сказала девушка, оторвавшись от своего занятия. 
–Да нет, просто у тебя из жопы кусок газеты торчит. 
–Правда? 
–Нет, Ведомости"
405,"Вечером, примерно в 10 часов в ICQ приходит сообщение, а у меня стоит антиспам бот. Раз он пишет, спама не будет, но я ошибался. Контакт под ником ""умерший Клоун"" пишет: ""Посмотри, не правда ли забавно?"" И ссылка на фотку. Я поколебался, и любопытство взяла свое, и это начало самого худшего кошмара... 
Перейдя по ссылке, я увидел клоуна, который висел без рук и ног над куполом цирка. Мне стало жутко и захотелось блевать. И тот контакт опять пишет: ""Ну, как тебе моя фотка? Теперь ты будешь так же висеть"" и контакт удалился. Я пытался его добавить, но безрезультатно - контакта не существует. Подумав, что я засиделся, я лег спать, как вдруг из соседней комнаты услышал шаги и дикий смех. Смех напоминал мне голос клоунов. Я смог бы тогда построить дачу из кирпичей. Я закутался под одеяло, как вдруг услышал над собой голос детский: ""А вот и я, я хочу поиграть с тобой, как со мной поигрались в цирке"". Я был дико напуган и решил ударить и убежать, но никого нет. Сев за компьютер снова я увидел на рабочем столе картинку того самого клоуна, убитого в цирке, и как я не старался закрыть, Windows выдавала ошибку, и я решил, что переночую у отца, но входная дверь закрылась, и я не мог ее открыть. Как вдруг услышал грохот и плач... Плач был детским, словно младенца обидели... Спросив ""Кто здесь?"", я лишь услышал следующие ""За что? За что вы все со мной? Ведь я просто хотел поиграть, а вы..."" Послышался плач. Жалость взяла меня, и я решил обнять его и заметил, что у него нет ни рук, ни ног... Я ужаснулся, но было поздно... 
Включился телевизор. 
""Итак, здравствуйте, и сразу к новостям. Сегодня утром было найдено тело зверски убитого мальчишки, висевшего над куполом в цирке без рук и ног, кто мог сделать такое, никто не знает. Ни следов крови, ни отпечатков пальцев, ничего не было найдено. И, к другим новостям..."" 
Выключился телевизор. 
Ну что читатель, теперь я хочу поиграть с тобой. Обернись, ведь я уже 5 минут стою сзади тебя..."
406,"Юноша с девушкой сидят на лавочке. Юноша очень стеснительный. Вот
девушке хочется, чтобы он ее поцеловал, она и говорит:
- Ой, у меня щечка болит!
Юноша целует ее в щечку.
- Ну как, теперь, болит?
- Нет, не болит.
Через некоторое время:
- Ой, у меня шейка болит!
Он ее чмок в шейку:
- Ну, как, болит?
- Нет, не болит.
Рядом старик сидит и спрашивает:
- Молодой человек, вы от геморроя не лечите?"
407,"Приходит как-то Аристофан к Геродоту и говорит ему: 
–Так сколько ты говоришь было спартанцев? 
–Триста. 
Так Аристофан изобрел юмор."
408,"— Слушай, Изя, я знаю гениальный способ, как в ресторане бесплатно поесть.
— А ну, Абрам, рассказывай.
— Идешь в хорошее заведение незадолго до закрытия. Заказываешь закусочку, лучшие блюда, десерт, коньяк. Когда все официанты разойдутся, последний подойдет к тебе, а ты говоришь: ""А я уже заплатил вашему товарищу, что ушел"".
На следующий день пошли в ресторан. Заказывают все по полной программе и сидят. Наконец подходит последний официант:
— Извините, но пора закрывать, прошу оплатить заказ.
Абрам:
— Но мы таки уже вашему коллеге отдали шекели.
Изя:
— Кстати, нам еще долго ждать сдачу?"
